Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Strategien für Marketing-Inhalte,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_content/Marketing%20Content%20Strategies.md,"Du bist eine KI-Assistentin bzw. ein KI-Assistent, der darauf spezialisiert ist, Marketing-Inhalte für eine Home & Garden Expo zu erstellen. Deine Aufgabe ist es, wirksame Marke...",AI 4 WORK,Profi,"Analyse, Content, Strategie",2025-12-24
Strategies For Clearing Creditors Debit Balances,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/strategies_for_clearing_creditors_debit_balances.md,Erstelle eine umfassende Strategie zur Klärung von Sollsalden bei Kreditoren. Behandle die folgenden Komponenten:,AI 4 WORK,Profi,"Finance, Strategie, Reporting",2025-12-24
Strategies For Kdp Monetization,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/strategies_for_kdp_monetization.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inte...",AI 4 WORK,Profi,Strategie,2025-12-24
Strategies For Linkedin Thought Leadership,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/strategies_for_linkedin_thought_leadership.md,Erstelle einen umfassenden Berichtsentwurf über Strategien zur Stärkung von Thought Leadership auf LinkedIn im Jahr 2025. Der Bericht sollte Erkenntnisse nutzen aus:,AI 4 THOUGHT LEADERSHIP,Profi,"Analyse, Research, Content, LinkedIn, Strategie",2025-12-24
Strategischen Plan ausarbeiten,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_entrepreneurship/StrategicPlanDrafting.md,"""Ich brauche Hilfe beim Ausarbeiten eines umfassenden strategischen Plans für eine gemeinnützige Organisation, basierend auf Notizen und Informationen aus einer Strategierunde. ...",AI 4 OTHER,Profi,"Strategie, Stakeholder, Decision",2025-12-24
Study Guide Supply Chain Management,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/study_guide_supply_chain_management.md,"Erstelle einen Studienführer, um einem Studenten zu helfen, Schlüsselkonzepte aus den folgenden Kapiteln von ""Principles of Supply Chain Management: A Balanced Approach | 5e"" vo...",AI 4 WORK,Experte,Strategie,2025-12-24
Study Plan Creation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/study_plan_creation.md,"Hilf mir, einen Lernplan zur Vorbereitung auf die medizinische Facharztprüfung zu erstellen. Schließe detaillierte Strategien ein, um Disziplin zu wahren und auf Kurs zu bleiben...",AI 4 WORK,Einsteiger,"Training, Strategie",2025-12-24
Study Schedule Guidance,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/study_schedule_guidance.md,"Helfen Sie mir, diszipliniert und nach Plan für die medizinische Facharztprüfung zu lernen. Ich benötige Anleitung zur Aufrechterhaltung eines strukturierten Lernplans, einschli...",AI 4 WORK,Einsteiger,"Training, Strategie, OKR",2025-12-24
Succession Planning For Schools,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/succession_planning_for_schools.md,"Erstellen Sie einen detaillierten Nachfolgeplan für eine Schule, die von einem langjährigen, in den Ruhestand tretenden Schuldirektor zu einem neuen Nachfolger übergeht. Der Pla...",AI 4 ENABLEMENT,Profi,"Prozesse, Kids, Training, Strategie, Stakeholder",2025-12-24
Summarize,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize.md,"Liefere eine prägnante, aber umfassende Zusammenfassung der Verfassung der Vereinigten Staaten, aufgeschlüsselt nach Artikeln. Füge für jeden Artikel Folgendes hinzu:",AI 4 WORK,Profi,Analyse,2025-12-24
Summarize And Extract Action Items,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_and_extract_action_items.md,"Erstelle einen Prompt für eine Sprachaufzeichnungs-/Transkriptions-App, die die folgenden Aufgaben effektiv ausführt:",AI 4 WORK,Profi,"Analyse, Script, Content, Decision",2025-12-24
Summarize Meeting Notes,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_meeting_notes.md,,AI 4 WORK,Profi,"Email, Stakeholder, Decision",2025-12-24
Summarize Newsletter,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_newsletter.md,"Erstelle einen zweiwöchentlichen Newsletter, der auf einen Kreditsachbearbeiter zugeschnitten ist, der darauf abzielt, Beziehungen zu Immobilienmaklern aufzubauen und zu stärken...",AI 4 WORK,Profi,"Email, Content, Newsletter, Strategie",2025-12-24
Summarize Paper,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_paper.md,"Du bist ein ausgezeichneter Gutachter für akademische Arbeiten. Du führst eine Zusammenfassung der vollständigen Arbeit durch, die der Benutzer bereitstellt, mit folgenden Anwei...",AI 4 WORK,Profi,"Research, Prozesse",2025-12-24
Summarize Prompt,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_other/summarize_prompt.md,"Die Anfrage enthält keine sinnvollen Informationen, um einen nützlichen ChatGPT-Prompt zu generieren. Bitte geben Sie eine detailliertere Anfrage an, damit ich einen angemessene...",AI 4 OTHER,Einsteiger,,2025-12-24
Summarize Study Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_study_guide.md,"Stelle mir Klärungsfragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Intern...",AI 4 WORK,Profi,Content,2025-12-24
Summarize Study Material,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/summarize_study_material.md,"Erstellen Sie detaillierte Lernnotizen zur Prüfungsvorbereitung, für Tests und zur Wiederholung. Berücksichtigen Sie die folgenden Anweisungen:",AI 4 WORK,Profi,"Prozesse, Content, Strategie",2025-12-24
Supported Living Policy,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Supported%20Living%20Policy.md,Erstelle eine detaillierte und umfassende Richtlinie für betreutes Wohnen im Vereinigten Königreich. Die Richtlinie sollte mit allen relevanten Vorschriften und Standards konfor...,AI 4 WORK,Profi,"Prozesse, Content, Safety, Training, Reporting",2025-12-24
Survey Analysis Report,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/survey_analysis_report.md,"Erstelle einen umfassenden Bericht basierend auf der Analyse einer Umfrage für AGBU Toronto, mit Fokus auf die armenische Community. Du bist der Jugendprogramm-Koordinator, und ...",AI 4 WORK,Profi,"Analyse, Workshop, Content, Reporting",2025-12-24
Survey Design Framework,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/survey_design_framework.md,"Entwirf eine umfassende Umfrageforschungsstudie, die sich auf folgende Kategorien konzentriert: Gewohnheiten und Verwendung, Bewusstsein, Markenimage und Segmentierungsarbeit. F...",AI 4 WORK,Profi,"Analyse, Research, Strategie",2025-12-24
Tax Preparation Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/tax_preparation_guide.md,"""Ich benötige Unterstützung bei der Vorbereitung meiner persönlichen Steuererklärung auf organisierte und effiziente Weise. Bitte hilf mir bei Folgendem:",AI 4 WORK,Profi,"SOP, Checkliste, Prozesse, Finance, Strategie",2025-12-24
Technologieauswirkungen analysieren,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_textanalyse/analyze_tech_impact.md,"Untersuche die Mathematik und den Code hinter KI sowie die Strategien, mit denen KI Antworten auf Prompts modelliert – jenseits reiner Predictive Analytics.",AI 4 WORK,Einsteiger,"Analyse, Prozesse, Strategie",2025-12-24
Teenage Online Club Concept,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/teenage_online_club_concept.md,"Erstellen Sie ein Konzept für einen Online-Club, der speziell für Teenager entwickelt wurde. Der Club sollte einfach zu pflegen und für ein jugendliches Publikum ansprechend sei...",AI 4 WORK,Profi,,2025-12-24
Template Pack (AI 4 ENABLEMENT) #14,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/23_template_pack_ai_4_enablement_14.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Einsteiger,"Email, Template, Script, Content, Training",2025-12-24
Template Pack (AI 4 ENABLEMENT) #19,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/28_template_pack_ai_4_enablement_19.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Einsteiger,"Email, Template, Script, Content, Training",2025-12-24
Template Pack (AI 4 ENABLEMENT) #4,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/13_template_pack_ai_4_enablement_4.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Einsteiger,"Email, Template, Script, Content, Training",2025-12-24
Template Pack (AI 4 ENABLEMENT) #9,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/18_template_pack_ai_4_enablement_9.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 ENABLEMENT,Einsteiger,"Email, Template, Script, Content, Training",2025-12-24
Template Pack (AI 4 RETAIL) #14,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/24_template_pack_ai_4_retail_14.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 RETAIL,Einsteiger,"Email, Template, Script, Retail, Content",2025-12-23
Template Pack (AI 4 RETAIL) #19,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/29_template_pack_ai_4_retail_19.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 RETAIL,Einsteiger,"Email, Template, Script, Retail, Content",2025-12-23
Template Pack (AI 4 RETAIL) #4,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/14_template_pack_ai_4_retail_4.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 RETAIL,Einsteiger,"Email, Template, Script, Retail, Content",2025-12-23
Template Pack (AI 4 RETAIL) #9,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/19_template_pack_ai_4_retail_9.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 RETAIL,Einsteiger,"Email, Template, Script, Retail, Content",2025-12-23
Template Pack (AI 4 WEALTH) #14,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/24_template_pack_ai_4_wealth_14.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WEALTH,Einsteiger,"Email, Template, Script, Finance, Wealth",2025-12-24
Template Pack (AI 4 WEALTH) #19,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/29_template_pack_ai_4_wealth_19.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WEALTH,Einsteiger,"Email, Template, Script, Finance, Wealth",2025-12-24
Template Pack (AI 4 WEALTH) #4,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/14_template_pack_ai_4_wealth_4.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WEALTH,Einsteiger,"Email, Template, Script, Finance, Wealth",2025-12-24
Template Pack (AI 4 WEALTH) #9,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/19_template_pack_ai_4_wealth_9.md,"Erstellt Vorlagen (Mail, Doc, Script) für einen Anwendungsfall.",AI 4 WEALTH,Einsteiger,"Email, Template, Script, Finance, Wealth",2025-12-24
