Title,PromptURL,Description,Category,Level,PromptTags,Updated
AI-Policy in Klartext,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/05_ai_policy_in_klartext.md,Übersetzt komplexe AI-Richtlinien in 1 Seite Klartext für Mitarbeitende.,AI 4 ENABLEMENT,Experte,"Training, Adoption, Prozesse",2025-12-24
Adoption KPI Dashboard,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/06_adoption_kpi_dashboard.md,"Definiert KPIs, Messmethoden und ein schlankes Reporting.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Reporting",2025-12-24
Analyze Resume Transition,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/analyze_resume_transition.md,"Erstellen Sie einen Lebenslauf und ein Anschreiben, die auf einen Karrierewechsel von einem Finanzfachmann zu einem Account Manager in der IT-Support-Branche zugeschnitten...",AI 4 ENABLEMENT,Profi,"Training, Finance, Content",2025-12-24
Analyze Trading Card Sales,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/analyze_trading_card_sales.md,Erstelle eine umfassende Analyse für Pokémon-Sammelkartenverkäufe mit Fokus auf Elite Trainer Boxes (ETBs) und einzelne Karten:,AI 4 ENABLEMENT,Profi,"Analyse, Strategie, Retail",2025-12-24
Annual Training Strategy Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/annual_training_strategy_plan.md,"Erstellen Sie einen Jahresplan für Stellvertretung für eine Trainingsstrategie basierend auf einem Fünfjahresplan. Das Ziel ist es, einen klaren und leicht zu befolgenden Plan...",AI 4 ENABLEMENT,Profi,"Training, Finance, Reporting, Prozesse, Strategie",2025-12-24
Area Manager Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/area_manager_plan.md,"Erstelle einen detaillierten Plan für die ersten 30, 60 und 90 Tage als Area Manager bei Starbucks. Gehe auf folgende Aspekte ein:",AI 4 ENABLEMENT,Profi,"Training, Finance, Analyse, Strategie",2025-12-24
Champion-Programm,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/04_champion_programm.md,"Baut ein Champions-Netzwerk (Rollen, Rituale, Playbook) ohne Overhead.",AI 4 ENABLEMENT,Experte,"Training, Adoption, Finance, Reporting",2025-12-24
Checklist Generator (AI 4 ENABLEMENT) #13,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/22_checklist_generator_ai_4_enablement_13.md,Erstellt eine präzise Checkliste für wiederkehrende Aufgaben.,AI 4 ENABLEMENT,Experte,"Checkliste, Training, Adoption",2025-12-24
Checklist Generator (AI 4 ENABLEMENT) #18,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/27_checklist_generator_ai_4_enablement_18.md,Erstellt eine präzise Checkliste für wiederkehrende Aufgaben.,AI 4 ENABLEMENT,Experte,"Checkliste, Training, Adoption",2025-12-24
Checklist Generator (AI 4 ENABLEMENT) #3,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/12_checklist_generator_ai_4_enablement_3.md,Erstellt eine präzise Checkliste für wiederkehrende Aufgaben.,AI 4 ENABLEMENT,Experte,"Checkliste, Training, Adoption",2025-12-24
Checklist Generator (AI 4 ENABLEMENT) #8,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/17_checklist_generator_ai_4_enablement_8.md,Erstellt eine präzise Checkliste für wiederkehrende Aufgaben.,AI 4 ENABLEMENT,Experte,"Checkliste, Training, Adoption",2025-12-24
