Pfad,Titel,OriginalKategorie,KategorieAI4,Language
"create_video_presentation_plan.md","Create Video Presentation Plan","Content Creation","AI 4 Content","en"
"monthly_recurring_revenue_marketing.md","Monthly Recurring Revenue Marketing","Content Creation","AI 4 Content","en"
"restaurant_search_app_plan.md","Restaurant Search App Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"resale_store_launch_plan.md","Resale Store Launch Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"InstagramAIReelsStrategy.md","Instagramaireelsstrategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"digital_marketing_strategy_with_ai.md","Digital Marketing Strategy With Ai","Content Creation","AI 4 Content","en"
"digital_product_ideas_for_real_estate_agents.md","Digital Product Ideas For Real Estate Agents","Product Managers","AI 4 Produkt","en"
"nih_grant_writing_guide.md","Nih Grant Writing Guide","Content Creation","AI 4 Content","en"
"dropshipping_guide.md","Dropshipping Guide","","AI 4 UNK","en"
"create_venn_diagram.md","Create Venn Diagram","Visualizations","AI 4 Visuals","en"
"write_essay.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"docent_training_guide.md","Docent Training Guide","","AI 4 UNK","en"
"ai_solutions_for_executive_assistants.md","Ai Solutions For Executive Assistants","","AI 4 UNK","en"
"fantasy_football_strategy.md","Fantasy Football Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"faceless_tiktok_guidance.md","Faceless Tiktok Guidance","","AI 4 UNK","en"
"credit_card_management_guide.md","Credit Card Management Guide","","AI 4 UNK","en"
"create_pricing_strategy.md","Create Pricing Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"CanvaIntegration.md","Canvaintegration","","AI 4 UNK","en"
"build_saas_product_guide.md","Build Saas Product Guide","Product Managers","AI 4 Produkt","en"
"faceless_tiktok_guide.md","Faceless Tiktok Guide","","AI 4 UNK","en"
"study_plan_creation.md","Study Plan Creation","Entrepreneurs","AI 4 Entrepreneurship","en"
"attraction_marketing_guide.md","Attraction Marketing Guide","Content Creation","AI 4 Content","en"
"gather_freelance_contacts.md","Gather Freelance Contacts","","AI 4 UNK","en"
"faceless_tiktok_channel_plan.md","Faceless Tiktok Channel Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_youtube_competitors.md","Analyze Youtube Competitors","Analyze Text","AI 4 Textanalyse","en"
"build_social_media_following_guide.md","Build Social Media Following Guide","Content Creation","AI 4 Content","en"
"utilitarianism_analysis.md","Utilitarianism Analysis","Analyze Text","AI 4 Textanalyse","en"
"quick_bible_facts.md","Quick Bible Facts","","AI 4 UNK","en"
"create_flyer_for_prayer_meeting.md","Create Flyer For Prayer Meeting","Meetings","AI 4 Meetings","en"
"create_buyer_persona.md","Create Buyer Persona","","AI 4 UNK","en"
"job_application_assistance.md","Job Application Assistance","Job Search","AI 4 Karriere","en"
"create_research_paper_topic.md","Create Research Paper Topic","","AI 4 UNK","en"
"start_company_guide.md","Start Company Guide","Creative Arts","AI 4 Kreativität","en"
"faceless_video_generator.md","Faceless Video Generator","Content Creation","AI 4 Content","en"
"extract_song_meaning.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"create_social_media_posts_for_senior_care.md","Create Social Media Posts For Senior Care","Content Creation","AI 4 Content","en"
"create_digital_product_templates.md","Create Digital Product Templates","Product Managers","AI 4 Produkt","en"
"create_art_prompt.md","Create Art Prompt","Creative Arts","AI 4 Kreativität","en"
"year_end_self_review.md","Year End Self Review","","AI 4 UNK","en"
"medical_record_translation.md","Medical Record Translation","","AI 4 UNK","en"
"Create Book Idea.md","Create Book Idea","","AI 4 UNK","en"
"Comic Book Writing Guide.md","Comic Book Writing Guide","Content Creation","AI 4 Content","en"
"create_markmap_visualization.md","IDENTITY and PURPOSE","Visualizations","AI 4 Visuals","en"
"Connect Chapters Cohesively.md","Connect Chapters Cohesively","","AI 4 UNK","en"
"dog_butts_coloring_book.md","Dog Butts Coloring Book","Creative Arts","AI 4 Kreativität","en"
"create_kids_program_budget.md","Create Kids Program Budget","","AI 4 UNK","en"
"brainstorm_business_ideas.md","Brainstorm Business Ideas","Entrepreneurs","AI 4 Entrepreneurship","en"
"transcribing_tiktok_videos.md","Transcribing Tiktok Videos","Content Creation","AI 4 Content","en"
"Create Facebook Post.md","Create Facebook Post","Content Creation","AI 4 Content","en"
"pain_points_of_solopreneurs.md","Pain Points Of Solopreneurs","","AI 4 UNK","en"
"storytelling_course.md","Storytelling Course","Creative Arts","AI 4 Kreativität","en"
"marcus_garvey_overview.md","Marcus Garvey Overview","","AI 4 UNK","en"
