Titel,Kategorie,Tags,Level,Output,Updated,GitHubLink,Pfad,Kurzbeschreibung
README,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/README.md,de/README.md,"Hilft dabei, README zu erstellen."
Titel des Prompts,AI 4 PromptOps,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/_template_prompt.md,de/_template_prompt.md,"Hilft dabei, Titel des Prompts zu erstellen."
Leitfaden zum Schreiben eines Comics,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Comic Book Writing Guide.md,de/ai4_content/Comic Book Writing Guide.md,"Hilft dabei, Leitfaden zum Schreiben eines Comics zu erstellen."
Marketingstrategie für E-Books erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Ebook Marketing Strategy.md,de/ai4_content/Create Ebook Marketing Strategy.md,"Hilft dabei, Marketingstrategie für E-Books erstellen zu erstellen."
Facebook-Post erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Facebook Post.md,de/ai4_content/Create Facebook Post.md,"Hilft dabei, Facebook-Post erstellen zu erstellen."
Pinterest-Pin-Content-Strategie erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Pinterest Pin Content Strategy.md,de/ai4_content/Create Pinterest Pin Content Strategy.md,"Hilft dabei, Pinterest-Pin-Content-Strategie erstellen zu erstellen."
Tägliche Methode für digitales Marketing,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Digital Marketing Daily Method.md,de/ai4_content/Digital Marketing Daily Method.md,"Hilft dabei, Tägliche Methode für digitales Marketing zu erstellen."
Gliederung für ein Dokumentarfilm-Skript,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/DocumentaryScriptOutline.md,de/ai4_content/DocumentaryScriptOutline.md,"Hilft dabei, Gliederung für ein Dokumentarfilm-Skript zu erstellen."
Inhalte zu Gesundheit und Wohlbefinden,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Health And Wellness Content.md,de/ai4_content/Health And Wellness Content.md,"Hilft dabei, Inhalte zu Gesundheit und Wohlbefinden zu erstellen."
Strategien für Marketing-Inhalte,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Marketing Content Strategies.md,de/ai4_content/Marketing Content Strategies.md,"Hilft dabei, Strategien für Marketing-Inhalte zu erstellen."
Social-Media-Kampagne für Personal Trainer,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Campaign for Personal Trainer.md,de/ai4_content/Social Media Campaign for Personal Trainer.md,"Hilft dabei, Social-Media-Kampagne für Personal Trainer zu erstellen."
Ideen für Social-Media-Inhalte,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Content Ideas.md,de/ai4_content/Social Media Content Ideas.md,"Hilft dabei, Ideen für Social-Media-Inhalte zu erstellen."
Social-Media-Strategie,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Strategy.md,de/ai4_content/Social Media Strategy.md,"Hilft dabei, Social-Media-Strategie zu erstellen."
